timestamp,price,volume,market_cap,coin
2025-10-01 00:00:00,4.473803047515365,159546406.38678932,757982204.9338864,pendle
2025-10-02 00:00:00,4.817075946901123,106088312.01396787,817684964.8253646,pendle
2025-10-03 00:00:00,5.014996994844221,120883209.7194178,849580729.0151054,pendle
2025-10-04 00:00:00,4.878330655405478,99159086.22136204,827481668.4676869,pendle
2025-10-05 00:00:00,4.76922660697873,53875777.03255543,808408064.628975,pendle
2025-10-06 00:00:00,4.6990979936202075,70531814.56654154,796626815.2446074,pendle
2025-10-07 00:00:00,5.021442799678494,89074538.7422734,850543715.3188106,pendle
2025-10-08 00:00:00,4.806804475591544,125431056.11120316,815502800.8548084,pendle
2025-10-09 00:00:00,4.713332269622608,117969816.66795547,799541373.5993879,pendle
2025-10-10 00:00:00,4.543790799980084,113745675.30497703,772409420.6679453,pendle
2025-10-11 00:00:00,3.6093744999104875,256294497.8549475,617606565.8399817,pendle
2025-10-12 00:00:00,3.357300035411352,166868628.12155655,570933764.5428358,pendle
2025-10-13 00:00:00,3.8816583198480337,135013701.85280082,657467687.7592736,pendle
2025-10-14 00:00:00,3.8555760007258693,150413888.46624213,655151523.2896256,pendle
2025-10-15 00:00:00,3.6053155745171703,171849595.26170498,612655786.0061933,pendle
2025-10-16 00:00:00,3.2737419645643544,138189724.9703732,556222403.2959911,pendle
2025-10-17 00:00:00,3.2204783616207338,113224337.18129632,547584475.8668504,pendle
2025-10-18 00:00:00,3.147665299656025,93419240.64925393,533235412.956556,pendle
2025-10-19 00:00:00,3.2315262193915455,36315596.847964235,547217475.8101051,pendle
2025-10-20 00:00:00,3.2081754656529675,48450026.13771962,543830499.3086045,pendle
2025-10-21 00:00:00,3.1929595198030243,57855825.10235751,540217367.7536287,pendle
2025-10-22 00:00:00,3.124577723706733,69049671.29205962,527757546.4039786,pendle
2025-10-23 00:00:00,3.034717460515839,52775707.181599304,512246084.67347836,pendle
2025-10-24 00:00:00,3.0957201790700686,49258245.0059143,522077657.7522996,pendle
2025-10-25 00:00:00,3.217279930678915,45449508.6683509,542599798.013297,pendle
2025-10-26 00:00:00,3.2119171893604035,25259093.68765273,541922071.8400435,pendle
2025-10-27 00:00:00,3.448967803510474,54930637.32687477,581536018.0315199,pendle
2025-10-28 00:00:00,3.287072491946643,75048147.51095192,555797252.1192752,pendle
2025-10-29 00:00:00,3.2316272976400646,47448876.85622956,547176236.1155885,pendle
2025-10-30 00:00:00,3.2768238778990924,51133322.140858136,552962665.1403643,pendle
2025-10-31 00:00:00,3.0529595061852595,71167610.98811564,514175875.96965015,pendle
2025-11-01 00:00:00,3.062821263056868,37856478.85266045,517031176.7261747,pendle
2025-11-02 00:00:00,3.1215862759459574,21113377.638802525,526452788.26417196,pendle
2025-11-03 00:00:00,3.054320375970789,24288621.558322962,513857668.18114376,pendle
2025-11-04 00:00:00,2.714124672869329,53917892.01806471,457042165.0719582,pendle
2025-11-05 00:00:00,2.6316366063547836,74176664.55140992,443598728.2677123,pendle
2025-11-06 00:00:00,2.7322630926698204,60570770.86592549,460021170.8057347,pendle
2025-11-07 00:00:00,2.589216735839164,45243941.31665913,436220956.4277857,pendle
2025-11-08 00:00:00,2.7777575529496827,84211227.48629011,468581210.9461546,pendle
2025-11-09 00:00:00,2.7709098013884597,57837606.30303147,466600028.09402907,pendle
2025-11-10 00:00:00,2.8006009109427055,43044026.99354926,471437051.19280285,pendle
2025-11-11 00:00:00,2.911562049082335,62710451.75699399,489239596.4712529,pendle
2025-11-12 00:00:00,2.672462460594627,66699510.14517813,449394386.4990799,pendle
2025-11-13 00:00:00,2.580997607078892,42909763.3166322,431942977.7395069,pendle
2025-11-14 00:00:00,2.510233550641991,61797408.85477555,417954740.9139526,pendle
2025-11-15 00:00:00,2.112581419006019,80694138.03813207,351710610.96178496,pendle
2025-11-16 00:00:00,2.3331265315200342,56962971.90307698,387948846.0951202,pendle
2025-11-17 00:00:00,2.4427216847218847,93283689.53135018,406594667.9481784,pendle
2025-11-18 00:00:00,2.277247617055111,72509656.63096435,377135336.29515314,pendle
2025-11-19 00:00:00,2.4159723633180796,55471275.82029284,399812487.726432,pendle
2025-11-20 00:00:00,2.38786882665131,52884280.54391586,394882841.8880818,pendle
2025-11-21 00:00:00,2.28484900261304,46775470.71899266,377450164.5238061,pendle
2025-11-22 00:00:00,2.1384342569842016,60311987.12197391,353051092.48537624,pendle
2025-11-23 00:00:00,2.159963592031951,30499137.581952635,356069047.3579795,pendle
2025-11-24 00:00:00,2.22219015194749,35629482.84288156,366490251.92429346,pendle
2025-11-25 00:00:00,2.4173110149203896,50805713.78812336,397545135.39409,pendle
2025-11-26 00:00:00,2.4676763643669104,57898876.43072118,405526841.0504592,pendle
2025-11-27 00:00:00,2.7476246103415445,90602061.44470789,451015975.5567658,pendle
2025-11-28 00:00:00,2.7446509682816824,81635068.01713644,451593914.0339565,pendle
2025-11-29 00:00:00,2.7516276766680527,66051063.654672176,452741289.16846037,pendle
2025-11-29 05:38:00,2.776487290405959,61581570.55757899,456625910.95724326,pendle
2025-08-02 00:00:00,0.9162264142914849,390767614.21152514,915201986.7383887,fartcoin
2025-08-03 00:00:00,0.8996631969842913,181128379.25956783,901266188.4268454,fartcoin
2025-08-04 00:00:00,0.9272897569519275,108911450.93462728,926887273.6645606,fartcoin
2025-08-05 00:00:00,1.02479088539608,219237438.00499836,1024949515.6142964,fartcoin
2025-08-06 00:00:00,0.9729426473355134,255317591.17026487,971342943.2468299,fartcoin
2025-08-07 00:00:00,0.9378243459945829,213517943.83694595,938644735.4206275,fartcoin
2025-08-08 00:00:00,1.0440402221448548,216943568.51769835,1043632318.9915712,fartcoin
